,Ветер вечером,Ветер днём,Давление вечером,Давление днём,День,Температура вечером,Температура днём
0,СВ 1м/с,СВ 1м/с,758,756,1,-4,-1
1,ЮЗ 2м/с,ЮЗ 2м/с,748,750,2,0,-2
2,С 3м/с,С 3м/с,757,755,3,-2,+2
3,З 3м/с,З 3м/с,761,762,4,-1,+3
4,З 3м/с,З 3м/с,755,757,5,+3,+3
5,ЮВ 2м/с,ЮВ 2м/с,752,752,6,+4,+9
6,Ю 2м/с,Ю 2м/с,749,749,7,+5,+10
7,Ю 3м/с,Ю 3м/с,747,747,8,+4,+9
8,З 3м/с,З 3м/с,752,750,9,+3,+7
9,З 4м/с,З 4м/с,750,752,10,+3,+8
10,Ю 1м/с,Ю 1м/с,746,748,11,+7,+12
11,ЮЗ 3м/с,ЮЗ 3м/с,740,742,12,+11,+17
12,З 3м/с,З 3м/с,747,747,13,+6,+10
13,Ю 2м/с,Ю 2м/с,739,741,14,+8,+13
14,З 5м/с,З 5м/с,737,735,15,-1,+1
15,З 6м/с,З 6м/с,744,743,16,+3,+6
16,З 4м/с,З 4м/с,747,744,17,+6,+6
17,З 4м/с,З 4м/с,757,755,18,+2,+4
18,СВ 3м/с,СВ 3м/с,755,758,19,-1,-1
19,З 2м/с,З 2м/с,743,742,20,-3,0
20,З 5м/с,З 5м/с,749,749,21,+1,+4
21,ЮВ 2м/с,ЮВ 2м/с,741,743,22,+2,+2
22,З 4м/с,З 4м/с,745,743,23,+7,+11
23,СВ 3м/с,СВ 3м/с,737,741,24,+3,+4
24,З 4м/с,З 4м/с,752,749,25,+5,+10
25,З 2м/с,З 2м/с,756,757,26,+9,+13
26,ЮЗ 5м/с,ЮЗ 5м/с,755,755,27,+16,+17
27,СЗ 3м/с,СЗ 3м/с,758,755,28,+10,+20
28,ЮВ 2м/с,ЮВ 2м/с,760,759,29,+15,+22
29,ЮВ 2м/с,ЮВ 2м/с,761,761,30,+19,+24
