,Ветер вечером,Ветер днём,Давление вечером,Давление днём,День,Температура вечером,Температура днём
0,Ш,Ш,752,753,1,+21,+26
1,ЮЗ 8м/с,ЮЗ 8м/с,755,752,2,+21,+30
2,ЮЗ 5м/с,ЮЗ 5м/с,759,757,3,+21,+29
3,З 7м/с,З 7м/с,757,758,4,+21,+27
4,З 9м/с,З 9м/с,755,754,5,+20,+26
5,З 7м/с,З 7м/с,756,753,6,+17,+22
6,З 6м/с,З 6м/с,761,759,7,+17,+21
7,В 4м/с,В 4м/с,760,760,8,+17,+26
8,Ю 4м/с,Ю 4м/с,760,759,9,+20,+28
9,З 6м/с,З 6м/с,766,765,10,+14,+23
10,ЮВ 4м/с,ЮВ 4м/с,762,763,11,+15,+23
11,С 6м/с,С 6м/с,762,762,12,+18,+25
12,В 5м/с,В 5м/с,763,762,13,+15,+24
13,Ю 3м/с,Ю 3м/с,760,760,14,+17,+25
14,СЗ 4м/с,СЗ 4м/с,758,757,15,+16,+26
15,СВ 5м/с,СВ 5м/с,765,762,16,+10,+17
16,В 6м/с,В 6м/с,764,764,17,+12,+21
17,СВ 6м/с,СВ 6м/с,759,759,18,+16,+25
18,В 7м/с,В 7м/с,755,756,19,+19,+27
19,В 3м/с,В 3м/с,754,755,20,+20,+26
20,З 3м/с,З 3м/с,754,753,21,+18,+27
21,Ю 2м/с,Ю 2м/с,756,755,22,+18,+21
22,СВ 8м/с,СВ 8м/с,756,756,23,+23,+25
23,В 3м/с,В 3м/с,757,758,24,+17,+24
24,В 4м/с,В 4м/с,753,754,25,+18,+27
25,СЗ 3м/с,СЗ 3м/с,756,754,26,+19,+28
26,Ю 3м/с,Ю 3м/с,758,757,27,+20,+27
27,ЮВ 2м/с,ЮВ 2м/с,756,757,28,+18,+27
28,Ю 3м/с,Ю 3м/с,754,755,29,+21,+26
29,Ю 2м/с,Ю 2м/с,754,753,30,+18,+17
