,Ветер вечером,Ветер днём,Давление вечером,Давление днём,День,Температура вечером,Температура днём
0,ЮЗ 1м/с,ЮЗ 1м/с,743,744,1,+10,+10
1,ЮВ 2м/с,ЮВ 2м/с,740,740,2,+15,+15
2,ЮВ 2м/с,ЮВ 2м/с,747,746,3,+15,+18
3,Ю 2м/с,Ю 2м/с,748,747,4,+15,+18
4,ЮВ 1м/с,ЮВ 1м/с,747,747,5,+16,+18
5,ЮВ 1м/с,ЮВ 1м/с,746,746,6,+16,+19
6,С 1м/с,С 1м/с,748,748,7,+11,+12
7,С 1м/с,С 1м/с,749,748,8,+8,+13
8,С 3м/с,С 3м/с,756,754,9,+3,+8
9,ЮЗ 2м/с,ЮЗ 2м/с,750,752,10,+7,+7
10,З 1м/с,З 1м/с,750,752,11,+8,+9
11,СЗ 2м/с,СЗ 2м/с,742,742,12,+8,+12
12,З 3м/с,З 3м/с,744,742,13,+8,+10
13,ЮЗ 3м/с,ЮЗ 3м/с,741,743,14,+11,+10
14,СЗ 4м/с,СЗ 4м/с,746,743,15,+7,+11
15,Ш,Ш,744,746,16,+6,+11
16,Ю 2м/с,Ю 2м/с,737,739,17,+13,+10
17,ЮЗ 3м/с,ЮЗ 3м/с,742,740,18,+6,+9
18,ЮЗ 3м/с,ЮЗ 3м/с,743,745,19,+6,+7
19,СЗ 3м/с,СЗ 3м/с,746,743,20,+8,+8
20,З 3м/с,З 3м/с,750,750,21,+9,+10
21,Ю 2м/с,Ю 2м/с,752,750,22,+10,+13
22,Ю 1м/с,Ю 1м/с,750,751,23,+11,+11
23,СЗ 2м/с,СЗ 2м/с,759,757,24,+4,+7
24,ЮЗ 2м/с,ЮЗ 2м/с,762,762,25,+6,+8
25,Ю 2м/с,Ю 2м/с,755,758,26,+5,+7
26,Ю 2м/с,Ю 2м/с,750,750,27,+7,+9
27,Ю 2м/с,Ю 2м/с,750,749,28,+8,+10
28,Ю 1м/с,Ю 1м/с,753,752,29,+8,+9
29,Ю 2м/с,Ю 2м/с,750,750,30,+10,+10
30,Ю 2м/с,Ю 2м/с,748,748,31,+10,+12
