,Ветер вечером,Ветер днём,Давление вечером,Давление днём,День,Температура вечером,Температура днём
0,СВ 2м/с,СВ 2м/с,756,754,4,+20,+18
1,ЮЗ 1м/с,ЮЗ 1м/с,756,756,5,+18,+24
2,С 1м/с,С 1м/с,755,754,6,+19,+20
3,СВ 1м/с,СВ 1м/с,754,755,7,+21,+19
4,СЗ 2м/с,СЗ 2м/с,752,752,8,+17,+18
5,СЗ 2м/с,СЗ 2м/с,751,752,9,+19,+19
6,С 1м/с,С 1м/с,752,750,10,+15,+18
7,СВ 1м/с,СВ 1м/с,756,755,11,+19,+21
8,В 1м/с,В 1м/с,753,755,12,+22,+22
9,ЮЗ 4м/с,ЮЗ 4м/с,752,751,13,+19,+22
10,В 2м/с,В 2м/с,752,754,14,+15,+20
11,В 2м/с,В 2м/с,750,749,15,+20,+24
12,ЮЗ 4м/с,ЮЗ 4м/с,760,758,16,+19,+17
13,СВ 2м/с,СВ 2м/с,753,756,17,+21,+20
14,В 2м/с,В 2м/с,753,753,18,+21,+21
15,ЮВ 3м/с,ЮВ 3м/с,756,753,19,+20,+18
16,ЮВ 2м/с,ЮВ 2м/с,762,760,20,+21,+23
17,СВ 3м/с,СВ 3м/с,760,761,21,+20,+22
18,СВ 1м/с,СВ 1м/с,757,757,22,+20,+18
19,ЮЗ 3м/с,ЮЗ 3м/с,761,761,23,+22,+24
20,СВ 2м/с,СВ 2м/с,751,756,24,+20,+20
21,ЮВ 2м/с,ЮВ 2м/с,750,749,25,+20,+22
22,С 4м/с,С 4м/с,753,750,26,+14,+18
23,С 2м/с,С 2м/с,756,756,27,+12,+13
24,Ш,Ш,756,755,28,+14,+14
25,С 1м/с,С 1м/с,759,760,29,+16,+17
26,С 1м/с,С 1м/с,756,757,30,+18,+19
27,З 3м/с,З 3м/с,758,756,31,+17,+19
