,Ветер вечером,Ветер днём,Давление вечером,Давление днём,День,Температура вечером,Температура днём
0,Ю 1м/с,Ю 1м/с,761,761,1,0,+7
1,ЮВ 3м/с,ЮВ 3м/с,759,759,2,+1,+8
2,ЮВ 2м/с,ЮВ 2м/с,758,758,3,+3,+6
3,В 2м/с,В 2м/с,753,754,4,+5,+8
4,Ю 3м/с,Ю 3м/с,752,753,5,+6,+7
5,С 4м/с,С 4м/с,753,749,6,-2,0
6,З 2м/с,З 2м/с,757,757,7,-2,+1
7,Ю 3м/с,Ю 3м/с,752,753,8,+4,+3
8,ЮЗ 3м/с,ЮЗ 3м/с,744,750,9,+5,+5
9,СЗ 5м/с,СЗ 5м/с,745,738,10,+1,+6
10,Ю 4м/с,Ю 4м/с,756,753,11,0,+3
11,ЮЗ 1м/с,ЮЗ 1м/с,753,754,12,0,+4
12,СЗ 4м/с,СЗ 4м/с,758,753,13,-3,-2
13,С 2м/с,С 2м/с,765,765,14,-8,-1
14,В 3м/с,В 3м/с,759,761,15,-2,+2
15,ЮВ 3м/с,ЮВ 3м/с,751,753,16,+4,+8
16,СВ 1м/с,СВ 1м/с,751,752,17,0,0
17,В 5м/с,В 5м/с,744,744,18,+5,+5
18,ЮЗ 3м/с,ЮЗ 3м/с,757,755,19,-1,+3
19,В 7м/с,В 7м/с,754,755,20,+3,+2
20,З 4м/с,З 4м/с,757,754,25,+3,+5
21,Ю 3м/с,Ю 3м/с,759,760,26,+5,+9
22,Ю 1м/с,Ю 1м/с,758,758,27,+6,+8
23,В 2м/с,В 2м/с,755,756,28,+9,+11
24,С 2м/с,С 2м/с,758,756,29,+4,+10
25,В 3м/с,В 3м/с,760,761,30,+3,+3
26,ЮВ 4м/с,ЮВ 4м/с,754,756,31,+8,+11
