,Ветер вечером,Ветер днём,Давление вечером,Давление днём,День,Температура вечером,Температура днём
0,З 7м/с,З 7м/с,740,734,1,0,+1
1,З 2м/с,З 2м/с,747,746,2,-2,0
2,СВ 3м/с,СВ 3м/с,746,743,3,+4,+1
3,Ю 9м/с,Ю 9м/с,751,747,4,-4,-2
4,Ю 6м/с,Ю 6м/с,746,719,5,-2,-1
5,З 5м/с,З 5м/с,745,742,6,-3,-1
6,СЗ 3м/с,СЗ 3м/с,751,748,7,0,0
7,СЗ 2м/с,СЗ 2м/с,759,757,8,+1,+2
8,Ю 2м/с,Ю 2м/с,759,760,9,+3,+5
9,Ю 7м/с,Ю 7м/с,756,754,10,+6,+7
10,Ю 2м/с,Ю 2м/с,753,753,11,+3,+7
11,Ю 1м/с,Ю 1м/с,750,751,12,+8,+8
12,Ю 1м/с,Ю 1м/с,739,736,13,+4,+3
13,З 5м/с,З 5м/с,746,745,14,+3,+4
14,З 3м/с,З 3м/с,750,750,15,+3,+3
15,ЮЗ 3м/с,ЮЗ 3м/с,752,752,16,+5,+5
16,З 3м/с,З 3м/с,753,753,17,+5,+7
17,С 5м/с,С 5м/с,754,756,18,+5,+5
18,ЮЗ 7м/с,ЮЗ 7м/с,751,752,19,+9,+10
19,З 1м/с,З 1м/с,753,754,20,+5,+8
20,СВ 4м/с,СВ 4м/с,753,754,21,+3,0
21,Ю 10м/с,Ю 10м/с,747,744,22,+3,+15
22,СЗ 3м/с,СЗ 3м/с,753,751,23,+4,+4
23,С 4м/с,С 4м/с,753,754,24,+3,+4
24,З 4м/с,З 4м/с,756,754,25,+2,+4
25,СЗ 4м/с,СЗ 4м/с,762,762,26,+3,+2
26,З 3м/с,З 3м/с,764,765,27,+9,+8
27,Ю 6м/с,Ю 6м/с,760,762,28,+10,+14
28,З 5м/с,З 5м/с,758,759,29,+19,+21
29,Ю 10м/с,Ю 10м/с,754,756,30,+21,+19
