,Ветер вечером,Ветер днём,Давление вечером,Давление днём,День,Температура вечером,Температура днём
0,З 7м/с,З 7м/с,744,743,1,+14,+22
1,З 6м/с,З 6м/с,742,741,2,+14,+18
2,СЗ 5м/с,СЗ 5м/с,747,747,3,+20,+25
3,З 5м/с,З 5м/с,749,748,4,+21,+25
4,З 6м/с,З 6м/с,751,749,5,+16,+24
5,СЗ 6м/с,СЗ 6м/с,751,751,6,+18,+24
6,СЗ 6м/с,СЗ 6м/с,747,747,7,+17,+26
7,СЗ 8м/с,СЗ 8м/с,747,746,8,+19,+23
8,С 8м/с,С 8м/с,745,744,9,+16,+24
9,СЗ 4м/с,СЗ 4м/с,744,744,10,+17,+25
10,Ш,Ш,744,744,11,+21,+28
11,ЮВ 4м/с,ЮВ 4м/с,743,743,12,+23,+31
12,ЮВ 4м/с,ЮВ 4м/с,744,744,13,+22,+31
13,ЮВ 7м/с,ЮВ 7м/с,743,744,14,+24,+33
14,З 9м/с,З 9м/с,746,746,15,+21,+25
15,В 4м/с,В 4м/с,747,747,16,+23,+29
16,С 5м/с,С 5м/с,750,750,17,+18,+23
17,З 4м/с,З 4м/с,751,751,18,+20,+26
18,СЗ 12м/с,СЗ 12м/с,749,749,19,+17,+24
19,СЗ 7м/с,СЗ 7м/с,748,748,20,+15,+22
20,З 6м/с,З 6м/с,745,746,21,+15,+19
21,З 6м/с,З 6м/с,744,744,22,+17,+22
22,Ю 5м/с,Ю 5м/с,747,745,23,+18,+18
23,Ю 3м/с,Ю 3м/с,744,744,24,+18,+24
24,ЮВ 5м/с,ЮВ 5м/с,744,743,25,+16,+18
25,СЗ 5м/с,СЗ 5м/с,745,744,26,+20,+28
26,С 4м/с,С 4м/с,747,746,27,+22,+29
27,С 4м/с,С 4м/с,748,748,28,+24,+29
28,СЗ 2м/с,СЗ 2м/с,748,747,29,+24,+30
29,С 4м/с,С 4м/с,748,747,30,+23,+31
30,С 4м/с,С 4м/с,750,748,31,+22,+28
