,Ветер вечером,Ветер днём,Давление вечером,Давление днём,День,Температура вечером,Температура днём
0,С 3м/с,С 3м/с,746,745,1,-8,-2
1,СЗ 2м/с,СЗ 2м/с,742,743,2,-7,-4
2,С 6м/с,С 6м/с,740,740,3,-6,-3
3,С 3м/с,С 3м/с,742,740,4,-4,-3
4,С 5м/с,С 5м/с,746,745,5,-5,-2
5,С 5м/с,С 5м/с,748,746,6,-6,-4
6,СЗ 4м/с,СЗ 4м/с,752,751,7,-12,-6
7,СЗ 4м/с,СЗ 4м/с,754,753,8,-12,-8
8,СЗ 4м/с,СЗ 4м/с,756,756,9,-11,-9
9,СЗ 4м/с,СЗ 4м/с,756,756,10,-7,-4
10,ЮВ 3м/с,ЮВ 3м/с,750,750,11,-6,-3
11,Ю 3м/с,Ю 3м/с,745,747,12,-2,0
12,З 7м/с,З 7м/с,737,739,13,+2,+3
13,СЗ 7м/с,СЗ 7м/с,737,736,14,-3,0
14,С 6м/с,С 6м/с,745,742,15,-7,-4
15,СЗ 4м/с,СЗ 4м/с,751,750,16,-9,-5
16,З 5м/с,З 5м/с,748,749,17,+2,+1
17,З 5м/с,З 5м/с,747,746,18,+5,+9
18,З 2м/с,З 2м/с,747,748,19,+6,+9
19,З 8м/с,З 8м/с,747,746,20,+3,+4
20,СЗ 6м/с,СЗ 6м/с,746,745,21,+2,+3
21,СЗ 5м/с,СЗ 5м/с,751,751,22,0,+1
22,З 5м/с,З 5м/с,739,738,23,+3,+5
23,СЗ 6м/с,СЗ 6м/с,752,751,24,-3,-1
24,ЮЗ 4м/с,ЮЗ 4м/с,742,749,25,+1,+2
25,С 7м/с,С 7м/с,740,734,26,-2,-2
26,З 7м/с,З 7м/с,743,742,27,0,0
27,СЗ 4м/с,СЗ 4м/с,744,744,28,-3,0
28,Ю 6м/с,Ю 6м/с,733,737,29,+2,+3
29,ЮЗ 3м/с,ЮЗ 3м/с,735,734,30,+4,+7
30,ЮЗ 6м/с,ЮЗ 6м/с,732,730,31,+2,+2
